doi,url,type,title,authors,author_count,year,journal,publisher,abstract,subjects,reference_count,cited_by_count,references,month
10.4103/1995-7645.340568,https://doi.org/10.4103/1995-7645.340568,journal-article,"Comparison of Cox proportional hazards model, Cox proportional hazards with time-varying coefficients model, and lognormal accelerated failure time model",Kamaruddin Mardhiah; Nadiah Wan-Arfah; Nyi Nyi Naing; Muhammad Radzi Abu Hassan; Huan-Keat Chan,5,2022,Asian Pacific Journal of Tropical Medicine,Medknow,"<jats:sec>
            <jats:title>Objective:</jats:title>
            <jats:p>To compare the prognostic factors of mortality among melioidosis patients between lognormal accelerated failure time (AFT), Cox proportional hazards (PH), and Cox PH with time-varying coefficient (TVC) models.</jats:p>
          </jats:sec>
          <jats:sec>
            <jats:title>Methods:</jats:title>
            <jats:p>A retrospective study was conducted from 2014 to 2019 among 453 patients who were admitted to Hospital Sultanah Bahiyah, Kedah and Hospital Tuanku Fauziah, Perlis in Northern Malaysia due to confirmed-cultured melioidosis. The prognostic factors of mortality from melioidosis were obtained from AFT survival analysis, and Cox’s models and the findings were compared by using the goodness of fit methods. The analyses were done by using Stata SE version 14.0.</jats:p>
          </jats:sec>
          <jats:sec>
            <jats:title>Results:</jats:title>
            <jats:p>A total of 242 patients (53.4%) survived. In this study, the median survival time of melioidosis patients was 30.0 days (95% <jats:italic toggle=""yes"">CI</jats:italic> 0.0-60.9). Six significant prognostic factors were identified in the Cox PH model and Cox PH-TVC model. In AFT survival analysis, a total of seven significant prognostic factors were identified. The results were found to be only a slight difference between the identified prognostic factors among the models. AFT survival showed better results compared to Cox’s models, with the lowest Akaike information criteria and best fitted Cox-snell residuals.</jats:p>
          </jats:sec>
          <jats:sec>
            <jats:title>Conclusions:</jats:title>
            <jats:p>AFT survival analysis provides more reliable results and can be used as an alternative statistical analysis for determining the prognostic factors of mortality in melioidosis patients in certain situations.</jats:p>
          </jats:sec>",,21,11,21,3.0
10.1101/2022.03.17.22272411,https://doi.org/10.1101/2022.03.17.22272411,posted-content,Assessing performance and clinical usefulness in prediction models with survival outcomes: practical guidance for Cox proportional hazards models,David J McLernon; Daniele Giardiello; Ben Van Calster; Laure Wynants; Nan van Geloven; Maarten van Smeden; Terry Therneau; Ewout W Steyerberg,8,2022,,openRxiv,"<jats:title>Abstract</jats:title>
                <jats:p>Risk prediction models need thorough validation to assess their performance. Validation of models for survival outcomes poses challenges due to the censoring of observations and the varying time horizon at which predictions can be made. We aim to give a description of measures to evaluate predictions and the potential improvement in decision making from survival models based on Cox proportional hazards regression.</jats:p>
                <jats:p>As a motivating case study, we consider the prediction of the composite outcome of recurrence and death (the ‘event’) in breast cancer patients following surgery. We develop a Cox regression model with three predictors as in the Nottingham Prognostic Index in 2982 women (1275 events within 5 years of follow-up) and externally validate this model in 686 women (285 events within 5 years). The improvement in performance was assessed following the addition of circulating progesterone as a prognostic biomarker.</jats:p>
                <jats:p>The model predictions can be evaluated across the full range of observed follow up times or for the event occurring by a fixed time horizon of interest. We first discuss recommended statistical measures that evaluate model performance in terms of discrimination, calibration, or overall performance. Further, we evaluate the potential clinical utility of the model to support clinical decision making. SAS and R code is provided to illustrate apparent, internal, and external validation, both for the three predictor model and when adding progesterone.</jats:p>
                <jats:p>We recommend the proposed set of performance measures for transparent reporting of the validity of predictions from survival models.</jats:p>",,51,7,51,3.0
10.1007/978-3-030-33439-0_4,https://doi.org/10.1007/978-3-030-33439-0_4,book-chapter,Proportional hazards models,John O’Quigley,1,2021,Survival Analysis,Springer International Publishing,,,0,0,0,
10.1111/dom.15928/v1/decision1,https://doi.org/10.1111/dom.15928/v1/decision1,peer-review,"Decision letter for ""Does the Cox proportional hazards model accurately reflect the dynamics of kidney outcomes? An exploration of superior alternatives""",,0,2024,,Wiley,,,0,0,0,8.0
10.31219/osf.io/dpu6j,https://doi.org/10.31219/osf.io/dpu6j,posted-content,Determining the Correlation Between the TP53 Gene and Kidney Cancer Survival Through the Cox Proportional-Hazards Regression Model,Rohan Bhansali,1,2021,,Center for Open Science,"<p>Kidney cancer is among the most common and deadly forms of cancer and its incidence has spiked considerably in recent years. It contains a high propensity to rapidly spread to nearby organs, making swift and early diagnosis absolutely critical to ensuring optimal patient recovery. However, its subtle symptoms and manifestation in laboratory tests can make discerning its occurrence difficult. Predicting the probability of the carcinoma based upon various gene mutations has been previously explored, but this study specifically focuses on the TP53 mRNA and the effect its variants have. The Cox proportional-hazards regression technique, ubiquitously regarded as the most accurate method for survival modeling, is utilized to determine that there is a statistically significant difference in the renal cell carcinoma survival of patients with and without the TP53 gene expression. Specifically, possessing this gene, which itself encodes a tumor suppressor protein, correlates with a much higher survival rate from the carcinoma. This finding contains large implications for future exploration within the intersection of genomics and oncology and suggests the efficacy of gene prediction in carcinomas and other pathologies with hereditary predilections.</p>",,0,0,0,2.0
10.1142/9789811270611_0046,https://doi.org/10.1142/9789811270611_0046,proceedings-article,VdistCox: Vertically distributed Cox proportional hazards model with hyperparameter optimization,Ji Ae Park; Yu Rang Park,2,2022,Biocomputing 2023,WORLD SCIENTIFIC,,,0,0,0,11.0
10.1111/dom.15928/v2/decision1,https://doi.org/10.1111/dom.15928/v2/decision1,peer-review,"Decision letter for ""Does the Cox proportional hazards model accurately reflect the dynamics of kidney outcomes? An exploration of superior alternatives""",,0,2024,,Wiley,,,0,0,0,8.0
10.1002/bimj.202100380,https://doi.org/10.1002/bimj.202100380,journal-article,Individual risk prediction: Comparing random forests with Cox proportional‐hazards model by a simulation study,Valia Baralou; Natasa Kalpourtzi; Giota Touloumi,3,2023,Biometrical Journal,Wiley,"<jats:title>Abstract</jats:title><jats:p>With big data becoming widely available in healthcare, machine learning algorithms such as random forest (RF) that ignores time‐to‐event information and random survival forest (RSF) that handles right‐censored data are used for individual risk prediction alternatively to the Cox proportional hazards (Cox‐PH) model. We aimed to systematically compare RF and RSF with Cox‐PH. RSF with three split criteria [log‐rank (RSF‐LR), log‐rank score (RSF‐LRS), maximally selected rank statistics (RSF‐MSR)]; RF, Cox‐PH, and Cox‐PH with splines (Cox‐S) were evaluated through a simulation study based on real data. One hundred eighty scenarios were investigated assuming different associations between the predictors and the outcome (linear/linear and interactions/nonlinear/nonlinear and interactions), training sample sizes (500/1000/5000), censoring rates (50%/75%/93%), hazard functions (increasing/decreasing/constant), and number of predictors (seven, 15 including noise variables). Methods' performance was evaluated with time‐dependent area under curve and integrated Brier score. In all scenarios, RF had the worst performance. In scenarios with a low number of events (⩽70), Cox‐PH was at least noninferior to RSF, whereas under linearity assumption it outperformed RSF. Under the presence of interactions, RSF performed better than Cox‐PH as the number of events increased whereas Cox‐S reached at least similar performance with RSF under nonlinear effects. RSF‐LRS performed slightly worse than RSF‐LR and RSF‐MSR when including noise variables and interaction effects. When applied to real data, models incorporating survival time performed better. Although RSF algorithms are a promising alternative to conventional Cox‐PH as data complexity increases, they require a higher number of events for training. In time‐to‐event analysis, algorithms that consider survival time should be used.</jats:p>",,42,19,42,8.0
10.1007/978-3-030-33439-0_6,https://doi.org/10.1007/978-3-030-33439-0_6,book-chapter,Non-proportional hazards models,John O’Quigley,1,2021,Survival Analysis,Springer International Publishing,,,0,1,0,
10.1002/sim.70161,https://doi.org/10.1002/sim.70161,journal-article,The Impact of Violation of the Proportional Hazards Assumption on the Calibration of the Cox Proportional Hazards Model,Peter C. Austin; Daniele Giardiello,2,2025,Statistics in Medicine,Wiley,"<jats:title>ABSTRACT</jats:title><jats:p>The Cox proportional hazards regression model is frequently used to develop clinical prediction models for time‐to‐event outcomes, allowing clinicians to estimate an individual's risk of experiencing the outcome within specified time horizons (e.g., estimate an individual's 10‐year risk of death). The Cox regression model models the association between covariates and the hazard of the outcome. A key assumption of the Cox model is the proportional hazards assumption: the ratio of the hazard function for any two individuals is constant over time, and the ratio is a function of only their covariates and the regression coefficients. Calibration is an important aspect of the validation of clinical prediction models. Calibration refers to the concordance between predicted and observed risk. The impact of the violation of the proportional hazards assumption on the calibration of clinical prediction models developed using the Cox model has not been examined. We conducted a set of Monte Carlo simulations to assess the impact of the magnitude of the violation of the proportional hazards assumption on the calibration of the Cox model. We compared the calibration of predictions obtained using a Cox regression model that ignored the violation of the proportional hazards assumption with those obtained using accelerated failure time (AFT) models, Royston and Parmar's spline‐based parametric survival models, and generalized linear models using pseudo‐observations. We found that violation of the proportional hazards assumption had negligible impact on the calibration of predictions obtained using a Cox model.</jats:p>",,17,6,17,6.0
10.1007/978-3-030-33439-0_5,https://doi.org/10.1007/978-3-030-33439-0_5,book-chapter,Proportional hazards models in epidemiology,John O’Quigley,1,2021,Survival Analysis,Springer International Publishing,,,0,0,0,
10.3847/1538-4365/ad3fba,https://doi.org/10.3847/1538-4365/ad3fba,journal-article,Advancing Solar Energetic Particle Event Prediction through Survival Analysis and Cloud Computing. I. Kaplan–Meier Estimation and Cox Proportional Hazards Modeling,India Jackson; Petrus Martens,2,2024,The Astrophysical Journal Supplement Series,American Astronomical Society,"<jats:title>Abstract</jats:title>
               <jats:p>Solar energetic particles (SEPs) pose significant challenges to technology, astronaut health, and space missions. This initial paper in our two-part series undertakes a comprehensive analysis of the time to detection for SEPs, applying advanced statistical techniques and cloud-computing resources to deepen our understanding of SEP event probabilities over time. We employ a range of models encompassing nonparametric, semiparametric, and parametric approaches, such as the Kaplan–Meier estimator and Cox Proportional Hazards models. These are complemented by various distribution models—including exponential, Weibull, lognormal, and log-logistic distributions—to effectively tackle the challenges associated with “censored data,” a common issue in survival analysis. Employing Amazon Web Services and Python’s “lifelines” and “scikit-survival” libraries, we efficiently preprocess and analyze large data sets. This methodical approach not only enhances our current analysis, but also sets a robust statistical foundation for the development of predictive models, which will be the focus of the subsequent paper. In identifying the key determinants that affect the timing of SEP detection, we establish the vital features that will inform the machine-learning (ML) techniques explored in the second paper. There, we will utilize advanced ML models—such as survival trees and random survival forests—to evolve SEP event prediction capabilities. This research is committed to advancing space weather, strengthening the safety of space-borne technology, and safeguarding astronaut health.</jats:p>",,65,2,65,6.0
10.5705/ss.202020.0141,https://doi.org/10.5705/ss.202020.0141,journal-article,Maximum Likelihood Estimation for Cox Proportional Hazards Model with a Change Hyperplane,Yu Deng; Jianwen Cai; Donglin Zeng,3,2022,Statistica Sinica,Statistica Sinica (Institute of Statistical Science),,,0,1,0,
10.1111/dom.15928/v2/response1,https://doi.org/10.1111/dom.15928/v2/response1,peer-review,"Author response for ""Does the Cox proportional hazards model accurately reflect the dynamics of kidney outcomes? An exploration of superior alternatives""",Lingyu Xu; Yan Xu,2,2024,,Wiley,,,0,0,0,8.0
10.52202/079017-2785,https://doi.org/10.52202/079017-2785,proceedings-article,FastSurvival: Hidden Computational Blessings in Training Cox Proportional Hazards Models,Jiachang Liu; Cynthia Rudin; Rui Zhang,3,2024,Advances in Neural Information Processing Systems 37,"Neural Information Processing Systems Foundation, Inc. (NeurIPS)",,,0,0,0,
10.1186/s12933-024-02302-2,https://doi.org/10.1186/s12933-024-02302-2,journal-article,Limitations of using COX proportional hazards model in cardiovascular research,Nan Jiang; Yongfa Wu; Chengjia Li,3,2024,Cardiovascular Diabetology,Springer Science and Business Media LLC,"<jats:title>Abstract</jats:title><jats:p>The article by Zhao et al. titled “Associations of Triglyceride-Glucose (TyG) Index with Chest Pain Incidence and Mortality among the U.S. Population” provides valuable insights into the positive correlation between the TyG index and chest pain incidence, as well as a nonlinear relationship with mortality. However, the use of the COX proportional hazards model in their analysis presents several limitations. The assumption of constant hazard ratios over time may not hold, potentially leading to biased estimates. The model’s struggle with time-dependent covariates and the possibility of residual confounding are notable concerns. Additionally, the study’s subgroup analyses might suffer from reduced statistical power, and potential interactions with other metabolic markers were not explored. Considering these limitations, future research should adopt alternative approaches, such as time-varying covariate models, to provide a more comprehensive understanding of the relationship between the TyG index and cardiovascular outcomes.</jats:p>",,5,15,5,6.0
10.1186/s41512-026-00223-0,https://doi.org/10.1186/s41512-026-00223-0,journal-article,The impact of violation of the proportional hazards assumption on the discrimination of the Cox proportional hazards model,Peter C. Austin; Daniele Giardiello,2,2026,Diagnostic and Prognostic Research,Springer Science and Business Media LLC,,,16,0,16,2.0
10.21203/rs.3.rs-5254940/v1,https://doi.org/10.21203/rs.3.rs-5254940/v1,posted-content,Application of Aalen’s additive regression model and the Cox proportional hazards to model HIV/AIDS progression,Claris Shoko; DelsChikobvuon; Pascal Bessong; Gorata Manyeagae,4,2024,,Springer Science and Business Media LLC,"<title>Abstract</title>
        <p>Over thirty-nine million individuals globally are living with HIV, and has claimed millions of lives globally over the past decades. The study's aims to determine variables associated HIV/AIDS progression in individuals receiving antiretroviral therapy. The research employed a cohort analysis of surveillance data from the HIV Wellness Clinic in the province of Limpopo, South Africa, for 318 HIV-positive patients on antiretroviral therapy (ART). This study uses Aalen's additive regression (AAR) and Cox regression (CR) models in comparison. HIV/AIDS progression for patients receiving treatment therapy has a significant association with CD4 baseline, gender, age, and development of tuberculosis during treatment, according to results from AAR and CR models. With a very modest p value &lt; 0.01, both models demonstrate that the CD4 baseline is highly significant when compared to the other factors in the models. Compared to female patients, male patients experience higher rates of immune system degradation. Compared to individuals with baseline CD4 counts over 350 cells/mm<sup>3</sup>, patients with baseline CD4 counts below 350 cells/mm<sup>3</sup> have higher rates of immunological recovery. This study has reinforced the need for early detection of TB in people living with HIV so that these two diseases are concurrently managed for the benefit of the infected individual.</p>",,25,0,25,10.0
10.21314/jcr.2022.014,https://doi.org/10.21314/jcr.2022.014,journal-article,Instabilities in Cox proportional hazards models in credit risk,Joseph L. Breeden; Anthony Bellotti; Yevgeniya Leonova,3,2023,Journal of Credit Risk,Infopro Digital Services Limited,,,0,0,0,
10.32614/cran.package.shinycox,https://doi.org/10.32614/cran.package.shinycox,dataset,shinyCox: Create 'shiny' Applications for Cox Proportional Hazards Models,Harrison Clement; Subodh Selukar; Stanley Pounds,3,2023,CRAN: Contributed Packages,The R Foundation,,,0,0,0,8.0
10.11648/j.cbb.20251302.11,https://doi.org/10.11648/j.cbb.20251302.11,journal-article,"A Comparative Evaluation of Kaplan-Meier, Cox Proportional Hazards, and Random Survival Forests for Neonatal Mortality Prediction",Victor Lumumba; Denis Muriithi; Amos Langat; Maureen Wanyama; Elizabeth Njoroge; John Mutinda; Olivia Waka; Edson Mwebesa,8,2025,Computational Biology and Bioinformatics,Science Publishing Group,"<jats:p xml:lang=""en"">Neonatal mortality remains a critical public health challenge, particularly in low- and middle-income countries (LMICs), where limited healthcare resources and fragmented follow-up systems hinder timely interventions. Accurate prediction of neonatal death is essential for risk stratification, resource allocation, and improving survival outcomes. While traditional survival analysis methods like the Kaplan-Meier estimator and Cox proportional hazards (Cox PH) model are widely used, they face limitations in handling non-linear relationships, high-dimensional data, and violations of proportional hazards assumptions. Random Survival Forests (RSF), a machine learning approach, offers potential advantages but lacks sufficient comparative evaluation in neonatal mortality prediction, especially within LMIC contexts. This study aimed to comparatively evaluate the performance of Kaplan-Meier, Cox PH, and RSF models in predicting neonatal mortality using a synthetic dataset reflecting perinatal epidemiology in Kenya. The research addresses a significant and direct methodological comparisons across these models in neonatal populations, particularly under real-world conditions involving censoring, missing data, and non-proportional hazards. We assessed discrimination (C-index, time-dependent AUC), calibration (Integrated Brier Score, CRPS), and clinical interpretability. The dataset included 2,000 neonates with 17 covariates including but not limited to gestational age, birth weight, maternal health, and socioeconomic status. Results showed that RSF outperformed both Kaplan-Meier and Cox PH in discrimination (C-index: 0.875 vs. 0.868) and maintained strong calibration, particularly at 28 days. Variable importance measures identified gestational age, birth weight, and maternal health score as top predictors. SHAP values enhanced interpretability of RSF outputs. The Cox model provided clinically intuitive hazard ratios but was less flexible in capturing interactions. The study concluded that RSF offers superior predictive accuracy for neonatal mortality and should be integrated into risk prediction tools, especially in data-rich settings. Policy makers should support adoption of advanced analytics in perinatal care systems, while maintaining traditional models for inferential clarity. Combining both paradigms can optimize neonatal survival strategies.</jats:p>",,38,0,38,10.0
10.7759/cureus.99083,https://doi.org/10.7759/cureus.99083,journal-article,A Cox Proportional Hazards Model Approach to Identifying Malaria Risk Factors in Children in South Sudan,Loro Gore Lado Jumi; Altaiyb Omer Ahmed Mohmmed,2,2025,Cureus,Springer Science and Business Media LLC,,,24,0,24,12.0
10.21203/rs.3.rs-602219/v1,https://doi.org/10.21203/rs.3.rs-602219/v1,posted-content,Accurate Training of The Cox Proportional Hazards Model on Vertically-Partitioned Data While Preserving Privacy,Bart Kamphorst; Thomas Rooijakkers; Thijs Veugen; Matteo Cellamare; Daan Knoors,5,2021,,Research Square Platform LLC,"<jats:title>Abstract</jats:title>
        <jats:p><jats:bold>Background: </jats:bold>Analysing distributed medical data is challenging because of data sensitivity and various regulations to access and combine data. Some privacy-preserving methods are known for analyzing horizontally-partitioned data, where different organisations have similar data on disjoint sets of people. Technically more challenging is the case of vertically-partitioned data, dealing with data on overlapping sets of people. We use an emerging technology based on cryptographic techniques called secure multi-party computation (MPC), and apply it to perform privacy-preserving survival analysis on vertically-distributed data by means of the Cox proportional hazards (CPH) model. Both MPC and CPH are explained. <jats:bold>Methods: </jats:bold>We use a Newton-Raphson solver to securely train the CPH model with MPC, jointly with all data holders, without revealing any sensitive data. In order to securely compute the log-partial likelihood in each iteration, we run into several technical challenges to preserve the efficiency and security of our solution. To tackle these technical challenges, we generalize a cryptographic protocol for securely computing the inverse of the Hessian matrix and develop a new method for securely computing exponentiations. A theoretical complexity estimate is given to get insight into the computational and communication effort that is needed. <jats:bold>Results:</jats:bold> Our secure solution is implemented in a setting with three different machines, each presenting a different data holder, which can communicate through the internet. The MPyC platform is used for implementing this privacy-preserving solution to obtain the CPH model. We test the accuracy and computation time of our methods on three standard benchmark survival datasets. We identify future work to make our solution more efficient. <jats:bold>Conclusions:</jats:bold> Our secure solution is comparable with the standard, non-secure solver in terms of accuracy and convergence speed. The computation time is considerably larger, although the theoretical complexity is still cubic in the number of covariates and quadratic in the number of subjects. We conclude that this is a promising way of performing parametric survival analysis on vertically-distributed medical data, while realising high level of security and privacy.</jats:p>",,0,0,0,7.0
10.1371/journal.pone.0278700,https://doi.org/10.1371/journal.pone.0278700,journal-article,On Cox proportional hazards model performance under different sampling schemes,Hani Samawi; Lili Yu; JingJing Yin,3,2023,PLOS ONE,Public Library of Science (PLoS),"<jats:p>Cox’s proportional hazards model (PH) is an acceptable model for survival data analysis. This work investigates PH models’ performance under different efficient sampling schemes for analyzing time to event data (survival data). We will compare a modified Extreme, and Double Extreme Ranked Set Sampling (ERSS, and DERSS) schemes with a simple random sampling scheme. Observations are assumed to be selected based on an easy-to-evaluate baseline available variable associated with the survival time. Through intensive simulations, we show that these modified approaches (ERSS and DERSS) provide more powerful testing procedures and more efficient estimates of hazard ratio than those based on simple random sampling (SRS). We also showed theoretically that Fisher’s information for DERSS is higher than that of ERSS, and ERSS is higher than SRS. We used the SEER Incidence Data for illustration. Our proposed methods are cost saving sampling schemes.</jats:p>",,29,6,29,4.0
10.21203/rs.3.rs-1611050/v1,https://doi.org/10.21203/rs.3.rs-1611050/v1,posted-content,Cox Proportional Hazards Regression for Interval Censored data with an Application to College Entrance and Parental Job Loss,Hee Jin Kim; SungHun Kim; Eunjee Lee,3,2022,,Research Square Platform LLC,"<jats:title>Abstract</jats:title>
        <jats:p>This paper conducted a survival analysis by fitting a Cox proportional hazards model to the Korea Labor panel data in order to analyze the effect of parental job loss on children’s admission to a college and university. Since the Korea Labor panel data is interval-and right-censored, we compared three imputation methods: simple omission, imputation as the average of the left and the right values of the interval, and multiple imputations proposed by Pan (2000). Their integrated area under the curve (iAUC) and mean square error (MSE) were compared in order to assess the predictive and estimation performances. It was found that, within the simulation, the multiple imputation method had a lower MSE than the other two methods. However, no difference was observed in the iAUC values. In the group where each householder had at least a college degree, the parental job loss variable was significantly related to college or university admission of the first child in a household regardless of the interval-censoring imputation method.</jats:p>",,0,0,0,5.0
10.33162/jar.2025.6.25.2.145,https://doi.org/10.33162/jar.2025.6.25.2.145,journal-article,Failure Rate Estimation Using a Cox Proportional Hazards Deep Neural Network,Dae-Kyung Kim,1,2025,Journal of Applied Reliability,The Korean Reliability Society,,,0,0,0,6.0
10.64026/jdbim/2025009,https://doi.org/10.64026/jdbim/2025009,journal-article,The Effect of Competitor Alliances on New Venture Milestone Achievement Through Cox Proportional Hazards Modeling,Arulmurugan Ramu,1,2025,Journal of Digital Business and International Marketing,Ansis Publications,"<jats:p>New entrants, primarily because they are startup or early-stage organizations, are usually confined in the market and struggle to gain a footing and sometimes their survival depends on alliances formed by rivals. When competitors enter into strategic alliance, the nature of competition may change, especially when forming a new alliance poses threat to new entrant or increases the levels of competition between competing alliances. To examine this, we use the Cox Proportional Hazards Model, an appropriate statistical technique for studying time-to-event data with regard to how competitor alliances influence the timing of critical events for new ventures, including, for example, fund raising, product introduction, or attaining profitability. Our findings suggest that competitors’ alliances influence the rate of completion of the milestones in new ventures and raise the likelihood of failure. Companies that undertook their competition in mature and highly related industries with considerable inter-organizational rivalry reported the highest levels of delay and risk in the initial phases. These findings imply that market forces especially through competitor alliances can dramatically shift growth and survival probabilities of new ventures, information useful to both new venture managers and public policy makers aiming at supporting innovation and entrepreneurship.</jats:p>",,19,0,19,4.0
10.15559/24-vmsta258,https://doi.org/10.15559/24-vmsta258,journal-article,Estimation in Cox proportional hazards model with heteroscedastic errors in covariates,Oksana Chernova,1,2024,Modern Stochastics: Theory and Applications,VTeX,"<jats:p>Consistent estimators of the baseline hazard rate and the regression parameter are constructed in the Cox proportional hazards model with heteroscedastic measurement errors, assuming that the baseline hazard function belongs to a certain class of functions with bounded Lipschitz constants.</jats:p>",,17,0,17,
10.2139/ssrn.4049638,https://doi.org/10.2139/ssrn.4049638,journal-article,Determinants of Time to First  Birth Among Women in Ethiopia Using Cox Proportional Hazards Model,Yihenew Mitiku Alemu; Molalign Gualu Gobena,2,2022,SSRN Electronic Journal,Elsevier BV,,,19,0,19,3.0
10.21203/rs.3.rs-1790970/v1,https://doi.org/10.21203/rs.3.rs-1790970/v1,posted-content,Education level as a predictor of the onset of health problems among China’s middle-aged population: a Cox proportional hazards regression analysis,Ruru Ping; Takashi Oshio,2,2022,,Research Square Platform LLC,"<jats:title>Abstract</jats:title>
        <jats:p><jats:bold>Background: </jats:bold>Despite the importance of midlife with reference to one’s health, educational inequalities in midlife health have attracted little attention in China. Using Cox proportional hazards regression analysis, this study examined this issue and investigated the potential mediating effects of socioeconomic position (SEP) other than educational attainment, stress level, and health behavior. <jats:bold>Methods: </jats:bold>Data were extracted from the China Health and Retirement Longitudinal Survey (CHALRS) from 2011 (baseline) to 2018 (latest data). Participants aged 45-59 years at baseline were studied (<jats:italic>N </jats:italic>= 8050). Health outcomes included the onset of poor self-rated health (SRH), limitation in activities of daily living (ADL) and instrumental ADL (IADL), multimorbidity, hypertension, dyslipidemia, heart diseases, and stroke over the 7-year follow-up period. Cox proportional hazard models were used to examine the associations of the outcomes with educational attainment, while controlling for potential mediators (other SEP, stress level, and health behaviors). The relative index of inequality (RII) was used to measure educational inequality.<jats:bold>Results:</jats:bold> Lower educational level was associated with increased incidences of poor SRH and ADL/IADL limitations, but with decreased incidences of dyslipidemia and heart disease. After adjusting for baseline covariates, the RII was 2.02 (95% confidence interval [CI]: 1.61, 2.53) for poor SRH, 2.16 (95% CI: 1.41, 3.29) for ADL limitation, 3.55 (95% CI: 2.73, 4.51) for IADL limitation, 0.54 (95% CI: 0.41, 0.71) for dyslipidemia, and 0.57 (95% CI: 0.42, 0.72) for heart disease. Minimal to moderate proportions (0.0 to 31.0%) of the RII were explained by the mediators. No sex or urban-rural differences were found in this study.<jats:bold>Conclusion:</jats:bold> Our findings suggest that educational attainment is an important predictor of the incidences of key midlife health problems, with limited mediating effects exerted by other indicators of SEP, stress, and health behavior.</jats:p>",,0,0,0,7.0
10.1186/s12874-020-01063-2,https://doi.org/10.1186/s12874-020-01063-2,journal-article,Quasi-linear Cox proportional hazards model with cross- L1 penalty,Katsuhiro Omae; Shinto Eguchi,2,2020,BMC Medical Research Methodology,Springer Science and Business Media LLC,"<jats:title>Abstract</jats:title><jats:sec><jats:title>Background</jats:title><jats:p>To accurately predict the response to treatment, we need a stable and effective risk score that can be calculated from patient characteristics. When we evaluate such risks from time-to-event data with right-censoring, Cox’s proportional hazards model is the most popular for estimating the linear risk score. However, the intrinsic heterogeneity of patients may prevent us from obtaining a valid score. It is therefore insufficient to consider the regression problem with a single linear predictor.</jats:p></jats:sec><jats:sec><jats:title>Methods</jats:title><jats:p>we propose the model with a quasi-linear predictor that combines several linear predictors. This provides a natural extension of Cox model that leads to a mixture hazards model. We investigate the property of the maximum likelihood estimator for the proposed model. Moreover, we propose two strategies for getting the interpretable estimates. The first is to restrict the model structure in advance, based on unsupervised learning or prior information, and the second is to obtain as parsimonious an expression as possible in the parameter estimation strategy with cross- L<jats:sub>1</jats:sub>penalty. The performance of the proposed method are evaluated by simulation and application studies.</jats:p></jats:sec><jats:sec><jats:title>Results</jats:title><jats:p>We showed that the maximum likelihood estimator has consistency and asymptotic normality, and the cross- L<jats:sub>1</jats:sub>-regularized estimator has root-<jats:italic>n</jats:italic>consistency. Simulation studies show these properties empirically, and application studies show that the proposed model improves predictive ability relative to Cox model.</jats:p></jats:sec><jats:sec><jats:title>Conclusions</jats:title><jats:p>It is essential to capture the intrinsic heterogeneity of patients for getting more stable and effective risk score. The proposed hazard model can capture such heterogeneity and achieve better performance than the ordinary linear Cox proportional hazards model.</jats:p></jats:sec>",,19,3,19,12.0
10.2307/j.ctv12100m2.13,https://doi.org/10.2307/j.ctv12100m2.13,book-chapter,Appendix D:,,0,2020,The Power of Accountability,University Press of Kansas,,,0,0,0,5.0
10.5604/01.3001.0054.9612,https://doi.org/10.5604/01.3001.0054.9612,journal-article,Feature selection methods for Cox proportional hazards model. Comparative study for financial and medical survival data,Wojciech Skwirz,1,2025,Bank i Kredyt,Index Copernicus,"<jats:p>This study compares Cox proportional hazards models across medical and financial datasets built using various feature selection techniques. In this analysis 8 feature selection techniques (3 variants of forward selection, 2 variants of a selection based on principal component analysis, selection based on random survival forest, best subset selection and a selection based on a LASSO regularization) were tested across 22 multidimensional datasets (2 financial and 22 medical). The resulting Cox models were compared based on a concordance index. The main hypothesis of this study stating that the LASSO regularization or the selection based on random survival forest method (generating good models for medical data) would yield similar performance on financial data, was hereby disproved. The forward Schwarz and best subset selection gave the best results for financial data, while LASSO and random survival forest proved to be the most efficient in medical setting, for each considered model size.</jats:p>",,0,0,0,2.0
10.20944/preprints202409.2248.v1,https://doi.org/10.20944/preprints202409.2248.v1,posted-content,"A Cox Proportional Hazards Model with Latent Covariates Reflecting Student’s Preparation, Motives, and Expectations for the Analysis of Time to Degree",Dimitrios Kalamaras; Laura Maska; Fani Nasika,3,2024,,MDPI AG,"<jats:p>Issues related to the duration of university studies, have attracted the interest of many researchers from different scientific fields, as far back as the middle of the 20th century. In this study, a Survival Analysis methodology, and more specifically a Cox Proportional hazards model, has been pro-posed to evaluate a theoretical framework/model that relates the risk a student either graduating on time or having a late graduation, with a number of observed and latent factors that have been proposed in the literature as the main determinants of degree completion. The major findings of the analysis suggest that the factors contributing to the shortening of the duration of studies in-clude high academic achievements at early stages, positive motivation, expectations, attitudes, and beliefs about studies. On the contrary, external situations, negative academic experiences and some individual characteristics of the students contribute to an extended duration of studies.</jats:p>",,0,0,0,10.0
10.32614/cran.package.aisoph,https://doi.org/10.32614/cran.package.aisoph,dataset,aisoph: Additive Isotonic Proportional Hazards Model,Yunro Chung,1,2022,CRAN: Contributed Packages,The R Foundation,,,0,0,0,11.0
