doi,title,authors,author_count,year,month,journal,publisher,abstract,subjects,type,url,source,relevance_score,relevance_flags
,Deep Survival Analysis for Competing Risk Modeling with Functional Covariates and Missing Data Imputation,Penglei Gao; Yan Zou; Abhijit Duggal; Shuaiqi Huang; Faming Liang; Xiaofeng Wang,6,2025,9,arXiv,arXiv,"We introduce the Functional Competing Risk Net (FCRN), a unified deep-learning framework for discrete-time survival analysis under competing risks, which seamlessly integrates functional covariates and handles missing data within an end-to-end model. By combining a micro-network Basis Layer for functional data representation with a gradient-based imputation module, FCRN simultaneously learns to impute missing values and predict event-specific hazards. Evaluated on multiple simulated datasets and a real-world ICU case study using the MIMIC-IV and Cleveland Clinic datasets, FCRN demonstrates substantial improvements in prediction accuracy over random survival forests and traditional competing risks models. This approach advances prognostic modeling in critical care by more effectively capturing dynamic risk factors and static predictors while accommodating irregular and incomplete data.",cs.LG,preprint,http://arxiv.org/abs/2509.25381v1,arXiv,4,survival:survival analysis; survival:deep survival
10.32388/e14eet,"Review of: ""Bank Customer Churn Prediction Using SMOTE: A Comparative Analysis""",Mahmoud B. Rokaya,1,2024,4.0,,Qeios Ltd,,,peer-review,https://doi.org/10.32388/e14eet,CrossRef,4,forecasting:customer churn; forecasting:churn prediction
10.32388/nk7h1c,"Review of: ""Bank Customer Churn Prediction Using SMOTE: A Comparative Analysis""",J Manokaran Manokaran,1,2024,3.0,,Qeios Ltd,,,peer-review,https://doi.org/10.32388/nk7h1c,CrossRef,4,forecasting:customer churn; forecasting:churn prediction
10.32388/frbyuq,"Review of: ""Bank Customer Churn Prediction Using SMOTE: A Comparative Analysis""",Sunil Kamlesh Khatri,1,2024,6.0,,Qeios Ltd,,,peer-review,https://doi.org/10.32388/frbyuq,CrossRef,4,forecasting:customer churn; forecasting:churn prediction
,Targeted Deep Architectures: A TMLE-Based Framework for Robust Causal Inference in Neural Networks,Yi Li; David Mccoy; Nolan Gunter; Kaitlyn Lee; Alejandro Schuler; Mark van der Laan,6,2025,7,arXiv,arXiv,"Modern deep neural networks are powerful predictive tools yet often lack valid inference for causal parameters, such as treatment effects or entire survival curves. While frameworks like Double Machine Learning (DML) and Targeted Maximum Likelihood Estimation (TMLE) can debias machine-learning fits, existing neural implementations either rely on ""targeted losses"" that do not guarantee solving the efficient influence function equation or computationally expensive post-hoc ""fluctuations"" for multi-parameter settings. We propose Targeted Deep Architectures (TDA), a new framework that embeds TMLE directly into the network's parameter space with no restrictions on the backbone architecture. Specifically, TDA partitions model parameters - freezing all but a small ""targeting"" subset - and iteratively updates them along a targeting gradient, derived from projecting the influence functions onto the span of the gradients of the loss with respect to weights. This procedure yields plug-in estimates that remove first-order bias and produce asymptotically valid confidence intervals. Crucially, TDA easily extends to multi-dimensional causal estimands (e.g., entire survival curves) by merging separate targeting gradients into a single universal targeting update. Theoretically, TDA inherits classical TMLE properties, including double robustness and semiparametric efficiency. Empirically, on the benchmark IHDP dataset (average treatment effects) and simulated survival data with informative censoring, TDA reduces bias and improves coverage relative to both standard neural-network estimators and prior post-hoc approaches. In doing so, TDA establishes a direct, scalable pathway toward rigorous causal inference within modern deep architectures for complex multi-parameter targets.",cs.LG,preprint,http://arxiv.org/abs/2507.12435v1,arXiv,4,causal:causal inference; causal:treatment effect
,Extending Cox Proportional Hazards Model with Symbolic Non-Linear Log-Risk Functions for Survival Analysis,Jiaxiang Cheng; Guoqiang Hu,2,2025,4,arXiv,arXiv,"The Cox proportional hazards (CPH) model has been widely applied in survival analysis to estimate relative risks across different subjects given multiple covariates. Traditional CPH models rely on a linear combination of covariates weighted with coefficients as the log-risk function, which imposes a strong and restrictive assumption, limiting generalization. Recent deep learning methods enable non-linear log-risk functions. However, they often lack interpretability due to the end-to-end training mechanisms. The implementation of Kolmogorov-Arnold Networks (KAN) offers new possibilities for extending the CPH model with fully transparent and symbolic non-linear log-risk functions. In this paper, we introduce Generalized Cox Proportional Hazards (GCPH) model, a novel method for survival analysis that leverages KAN to enable a non-linear mapping from covariates to survival outcomes in a fully symbolic manner. GCPH maintains the interpretability of traditional CPH models while allowing for the estimation of non-linear log-risk functions. Experiments conducted on both synthetic data and various public benchmarks demonstrate that GCPH achieves competitive performance in terms of prediction accuracy and exhibits superior interpretability compared to current state-of-the-art methods.",cs.LG; stat.ML,preprint,http://arxiv.org/abs/2504.04353v2,arXiv,4,survival:survival analysis; survival:cox proportional hazard
10.32388/ua1z2s,"Review of: ""Bank Customer Churn Prediction Using SMOTE: A Comparative Analysis""",Dr Surendiran B,1,2024,5.0,,Qeios Ltd,,,peer-review,https://doi.org/10.32388/ua1z2s,CrossRef,4,forecasting:customer churn; forecasting:churn prediction
10.32388/z3lwkq,"Review of: ""Bank Customer Churn Prediction Using SMOTE: A Comparative Analysis""",Patricia Jimbo Santana,1,2024,4.0,,Qeios Ltd,,,peer-review,https://doi.org/10.32388/z3lwkq,CrossRef,4,forecasting:customer churn; forecasting:churn prediction
10.32388/68tcil,"Review of: ""Bank Customer Churn Prediction Using SMOTE: A Comparative Analysis""",Mirjana Pejić Bach,1,2024,7.0,,Qeios Ltd,,,peer-review,https://doi.org/10.32388/68tcil,CrossRef,4,forecasting:customer churn; forecasting:churn prediction
,Gradient-based Explanations for Deep Learning Survival Models,Sophie Hanna Langbein; Niklas Koenen; Marvin N. Wright,3,2025,2,arXiv,arXiv,"Deep learning survival models often outperform classical methods in time-to-event predictions, particularly in personalized medicine, but their ""black box"" nature hinders broader adoption. We propose a framework for gradient-based explanation methods tailored to survival neural networks, extending their use beyond regression and classification. We analyze the implications of their theoretical assumptions for time-dependent explanations in the survival setting and propose effective visualizations incorporating the temporal dimension. Experiments on synthetic data show that gradient-based methods capture the magnitude and direction of local and global feature effects, including time dependencies. We introduce GradSHAP(t), a gradient-based counterpart to SurvSHAP(t), which outperforms SurvSHAP(t) and SurvLIME in a computational speed vs. accuracy trade-off. Finally, we apply these methods to medical data with multi-modal inputs, revealing relevant tabular features and visual patterns, as well as their temporal dynamics.",stat.ML; cs.LG,preprint,http://arxiv.org/abs/2502.04970v1,arXiv,4,survival:survival model; survival:time-to-event
10.32388/26c6ds,"Review of: ""Bank Customer Churn Prediction Using SMOTE: A Comparative Analysis""",Dr R. H. Aswathy,1,2024,6.0,,Qeios Ltd,,,peer-review,https://doi.org/10.32388/26c6ds,CrossRef,4,forecasting:customer churn; forecasting:churn prediction
10.32388/re9v8i,"Review of: ""Bank Customer Churn Prediction Using SMOTE: A Comparative Analysis""",Marta Lilia Erana Diaz,1,2024,3.0,,Qeios Ltd,,,peer-review,https://doi.org/10.32388/re9v8i,CrossRef,4,forecasting:customer churn; forecasting:churn prediction
10.59646/csc25/253,Predictive Sales Forecasting: Jubilant Bhartia’s Demand Forecasting Model,,0,2024,8.0,Case Studies in Business Management,San International Scientific Publications,,,book-chapter,https://doi.org/10.59646/csc25/253,CrossRef,4,forecasting:demand forecast; forecasting:sales forecast
,Multivariate Bayesian dynamic modeling for causal prediction,Graham Tierney; Christoph Hellmayr; Greg Barkimer; Kevin Li; Mike West,5,2023,2,arXiv,arXiv,"Bayesian forecasting is developed in multivariate time series analysis for causal inference. Causal evaluation of sequentially observed time series data from control and treated units focuses on the impacts of interventions using contemporaneous outcomes in control units. Methodological developments here concern multivariate dynamic models for time-varying effects across multiple treated units with explicit foci on sequential learning and aggregation of intervention effects. Analysis explores dimension reduction across multiple synthetic counterfactual predictors. Computational advances leverage fully conjugate models for efficient sequential learning and inference, including cross-unit correlations and their time variation. This allows full uncertainty quantification on model hyper-parameters via Bayesian model averaging. A detailed case study evaluates interventions in a supermarket promotions experiment, with coupled predictive analyses in selected regions of a large-scale commercial system. Comparisons with existing methods highlight the issues of appropriate uncertainty quantification in casual inference in aggregation across treated units, among other practical concerns.",stat.ME,preprint,http://arxiv.org/abs/2302.03200v2,arXiv,4,causal:causal inference; causal:counterfactual
10.21203/rs.3.rs-602219/v1,Accurate Training of The Cox Proportional Hazards Model on Vertically-Partitioned Data While Preserving Privacy,Bart Kamphorst; Thomas Rooijakkers; Thijs Veugen; Matteo Cellamare; Daan Knoors,5,2021,7.0,,Research Square Platform LLC,"<jats:title>Abstract</jats:title>
        <jats:p><jats:bold>Background: </jats:bold>Analysing distributed medical data is challenging because of data sensitivity and various regulations to access and combine data. Some privacy-preserving methods are known for analyzing horizontally-partitioned data, where different organisations have similar data on disjoint sets of people. Technically more challenging is the case of vertically-partitioned data, dealing with data on overlapping sets of people. We use an emerging technology based on cryptographic techniques called secure multi-party computation (MPC), and apply it to perform privacy-preserving survival analysis on vertically-distributed data by means of the Cox proportional hazards (CPH) model. Both MPC and CPH are explained. <jats:bold>Methods: </jats:bold>We use a Newton-Raphson solver to securely train the CPH model with MPC, jointly with all data holders, without revealing any sensitive data. In order to securely compute the log-partial likelihood in each iteration, we run into several technical challenges to preserve the efficiency and security of our solution. To tackle these technical challenges, we generalize a cryptographic protocol for securely computing the inverse of the Hessian matrix and develop a new method for securely computing exponentiations. A theoretical complexity estimate is given to get insight into the computational and communication effort that is needed. <jats:bold>Results:</jats:bold> Our secure solution is implemented in a setting with three different machines, each presenting a different data holder, which can communicate through the internet. The MPyC platform is used for implementing this privacy-preserving solution to obtain the CPH model. We test the accuracy and computation time of our methods on three standard benchmark survival datasets. We identify future work to make our solution more efficient. <jats:bold>Conclusions:</jats:bold> Our secure solution is comparable with the standard, non-secure solver in terms of accuracy and convergence speed. The computation time is considerably larger, although the theoretical complexity is still cubic in the number of covariates and quadratic in the number of subjects. We conclude that this is a promising way of performing parametric survival analysis on vertically-distributed medical data, while realising high level of security and privacy.</jats:p>",,posted-content,https://doi.org/10.21203/rs.3.rs-602219/v1,CrossRef,4,survival:survival analysis; survival:cox proportional hazard
10.1007/s00521-024-10479-6,Leveraging survival analysis in cost-aware deepnet for efficient hard drive failure prediction,Jishan Ahmed; Robert C. Green II,2,2025,1.0,Neural Computing and Applications,Springer Science and Business Media LLC,"<jats:title>Abstract</jats:title>
          <jats:p>Many real-world datasets, such as those used for failure and anomaly detection, are severely imbalanced, with a relatively small number of failed instances compared to the number of normal instances. To address these issues, this paper leverages the Backblaze hard disk drives (HDDs) data and makes several contributions to hard drive failure prediction. This research explores 1D convolutional neural networks (CNN) to utilize the sequential nature of hard drive sensor data. The performance of 1D CNN models is compared to traditional machine learning (ML) algorithms, such as the synthetic minority over-sampling technique (SMOTE) and weighted logistic regression (WLR), demonstrating superior results, suggesting the potential effectiveness of the proposed approaches. In addition to these efforts, this paper aims to provide a comprehensive understanding of hard drive longevity and the critical factors contributing to their eventual failure through survival analysis. The 1D CNN models employ weighted binary cross-entropy (WCE) loss and modified focal loss (MFL) functions to manage class imbalanced issues commonly observed in hard drive data. The findings suggest that 1D CNN models outperform traditional ML models, with regularization techniques like dropout and early stopping proving effective in controlling overfitting. Notably, the 1D CNN model with WCE loss demonstrated the best overall performance with a <jats:inline-formula>
              <jats:alternatives>
                <jats:tex-math>$$G_{mean}$$</jats:tex-math>
                <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"">
                  <mml:msub>
                    <mml:mi>G</mml:mi>
                    <mml:mrow>
                      <mml:mi>mean</mml:mi>
                    </mml:mrow>
                  </mml:msub>
                </mml:math>
              </jats:alternatives>
            </jats:inline-formula> of 0.692, successfully maximizing the FDR without increasing the FAR. In parallel, the research also employs Cox regression to identify key SMART parameters influencing drive failure. The high concordance index (c-index) of the Cox model (0.958) adds confidence to the insights derived. The research thus sets a solid groundwork for data center management strategies, with a future focus on practical implementation and evaluation of these findings.</jats:p>",,journal-article,https://doi.org/10.1007/s00521-024-10479-6,CrossRef,4,survival:survival analysis; survival:cox regression
10.1007/s10878-024-01196-w,"Customer churn prediction using a novel meta-classifier: an investigation on transaction, Telecommunication and customer churn datasets",Fatemeh Ehsani; Monireh Hosseini,2,2024,8.0,Journal of Combinatorial Optimization,Springer Science and Business Media LLC,,,journal-article,https://doi.org/10.1007/s10878-024-01196-w,CrossRef,4,forecasting:customer churn; forecasting:churn prediction
10.1201/9781003565529-14,Customer churn prediction for retention analysis,Rajesh Saturi; Siripothula Rahul; Zuha Siddiqui; Rachamalla Nikhitha,4,2024,12.0,Artificial Intelligence Technologies for Engineering Applications,CRC Press,,,book-chapter,https://doi.org/10.1201/9781003565529-14,CrossRef,4,forecasting:customer churn; forecasting:churn prediction
10.18535/ijsrm/v12i09.em05,Customer Churn Analysis Using Machine Learning to Improve Customer Retention on Vissie Net,Ronnald Christanto Admanegara; Wiwik Handayani,2,2024,9.0,International Journal of Scientific Research and Management (IJSRM),Valley International,"<jats:p>The industrial transformation that positions the internet as essential for all social aspects has intensified competition among internet service providers in Indonesia, including efforts to retain customers. This study focuses on predicting customer churn at Vissie Net using the CRISP-DM method combined with supervised learning algorithms, particularly Random Forest, and utilizing a fishbone diagram to identify areas for improvement. The research analyzes a dataset of 1,119 customers, considering variables like subscription length, contract terms, bills, packages, demographics, and churn data. Results indicate that the Random Forest algorithm excels in predicting churn, with 21.8% of customers unsubscribing. The fishbone diagram highlights factors influencing churn and offers suggestions for service variety, AI integration, customer satisfaction, and staff training.</jats:p>",,journal-article,https://doi.org/10.18535/ijsrm/v12i09.em05,CrossRef,4,forecasting:customer churn; forecasting:customer retention
10.54254/2755-2721/77/20240496,Customer churn data analysis using data mining,Xingyuan Jiang,1,2024,7.0,Applied and Computational Engineering,EWA Publishing,"<jats:p>Churn is the phenomenon of a customer terminating their relationship or subscription with a company or service provider[1]. It represents the rate at which customers stop using a company's product or service during a specific period of time. Attrition rate is an important metric for businesses as it directly impacts revenue, growth and customer retention. In the context of the churn data set, the churn label indicates whether a customer has been churn. Lost customers are those who decide to stop buying the company's products. On the other hand, non-churn customers are those who continue to buy the company's products. Understanding customer churn is critical for businesses to identify the patterns, factors, and metrics that lead to customer churn. By analyzing churn behavior and its associated characteristics, companies can develop strategies to retain existing customers, improve customer satisfaction, and reduce customer churn. Predictive modeling techniques can also be applied to anticipate and proactively address potential customer churn, enabling companies to take proactive steps to retain at-risk customers[2].</jats:p>",,journal-article,https://doi.org/10.54254/2755-2721/77/20240496,CrossRef,4,forecasting:customer churn; forecasting:customer retention
10.3389/fphar.2025.1701588,Beyond prescriptions: chronic medication adherence predicts mortality risk in a large-scale cohort study.,Jessica Hamuy Blanco; Dina C Janse van Rensburg; Audrey Jansen van Rensburg; Corrie Uys; Natalie Schellack,5,2025,,Frontiers in pharmacology,PubMed,"The Medication Adherence Risk Score (MARS) is a calculated score using pharmacy transactional data spanning 50% of the South African private pharmacy market. This study aims to demonstrate that the existing MARS model enhances risk stratification by identifying individuals at increased risk of mortality related to non-adherence to chronic medication. This was a retrospective cohort study in which an analysis of the relative mortality experience was compared to a standard fully underwritten base was performed for each of the MARS categories (low, medium, high and very high). The actual-to-expected ratio (AER) and relative risk (RR) for each category were compared across age groups and gender. The least absolute shrinkage and selection operator (LASSO) regression analysis method was applied to determine the most important variables within the dataset, providing insight into whether MARS offered more benefit than traditional risk rating factors. A time-to-event analysis by MARS categories was performed using the Cox proportional hazards model. The mortality experience of the study population was higher than the expected fully underwritten base (AER = 175%). For the overall sample, increasing AER and RR did not correlate with increasing MARS categories. However, use of the MARS in addition to age band allowed for differentiation of risk within the 25 to 55 age bands, with a higher MARS score indicating a higher AER and RR. The time-to-event analysis showed a statistically significant difference in the mean number of months before death occurred between the different MARS categories (low = 26.53; medium = 8.93; high = 7.02; very high = 6.92; p < 0.001). The MARS is not generalisable across all groups, as evidenced by the absence of a monotonic trend in the overall sample. However, when combined with age, it effectively differentiated mortality risk for individuals aged 25-55. The standard fully underwritten model underestimated the number of deaths within this pharmacy population. The time-to-event analysis showed a significant inverse relationship between MARS category and survival time.",,journal-article,https://pubmed.ncbi.nlm.nih.gov/41378219,PubMed,4,survival:time-to-event; survival:cox proportional hazard
,Mitigating Cold-start Forecasting using Cold Causal Demand Forecasting Model,Zahra Fatemi; Minh Huynh; Elena Zheleva; Zamir Syed; Xiaojun Di,5,2023,6,arXiv,arXiv,"Forecasting multivariate time series data, which involves predicting future values of variables over time using historical data, has significant practical applications. Although deep learning-based models have shown promise in this field, they often fail to capture the causal relationship between dependent variables, leading to less accurate forecasts. Additionally, these models cannot handle the cold-start problem in time series data, where certain variables lack historical data, posing challenges in identifying dependencies among variables. To address these limitations, we introduce the Cold Causal Demand Forecasting (CDF-cold) framework that integrates causal inference with deep learning-based models to enhance the forecasting accuracy of multivariate time series data affected by the cold-start problem. To validate the effectiveness of the proposed approach, we collect 15 multivariate time-series datasets containing the network traffic of different Google data centers. Our experiments demonstrate that the CDF-cold framework outperforms state-of-the-art forecasting models in predicting future values of multivariate time series data.",cs.LG,preprint,http://arxiv.org/abs/2306.09261v1,arXiv,4,forecasting:demand forecast; causal:causal inference
10.2139/ssrn.4757728,Bank Customer Churn Prediction Using Machine Learning Framework,Rasha Ashraf,1,2024,3.0,,Elsevier BV,,,posted-content,https://doi.org/10.2139/ssrn.4757728,CrossRef,4,forecasting:customer churn; forecasting:churn prediction
10.1016/j.compbiomed.2025.111176,Beyond Cox Models: Assessing the Performance of Machine-Learning Methods in Non-Proportional Hazards and Non-Linear Survival Analysis,Ivan Rossi; Flavio Sartori; Cesare Rollo; Giovanni Birolo; Piero Fariselli; Tiziana Sanavia,6,2025,4,arXiv,arXiv,"Survival analysis often relies on Cox models, assuming both linearity and proportional hazards (PH). This study evaluates machine and deep learning methods that relax these constraints, comparing their performance with penalized Cox models on a benchmark of three synthetic and three real datasets. In total, eight different models were tested, including six non-linear models of which four were also non-PH. Although Cox regression often yielded satisfactory performance, we showed the conditions under which machine and deep learning models can perform better. Indeed, the performance of these methods has often been underestimated due to the improper use of Harrell's concordance index (C-index) instead of more appropriate scores such as Antolini's concordance index, which generalizes C-index in cases where the PH assumption does not hold. In addition, since occasionally high C-index models happen to be badly calibrated, combining Antolini's C-index with Brier's score is useful to assess the overall performance of a survival method. Results on our benchmark data showed that survival prediction should be approached by testing different methods to select the most appropriate one according to sample size, non-linearity and non-PH conditions. To allow an easy reproducibility of these tests on our benchmark data, code and documentation are freely available at https://github.com/compbiomed-unito/survhive.",cs.LG; q-bio.QM,preprint,http://arxiv.org/abs/2504.17568v2,arXiv,4,survival:survival analysis; survival:cox regression
,WTNN: Weibull-Tailored Neural Networks for survival analysis,Gabrielle Rives; Olivier Lopez; Nicolas Bousquet,3,2025,12,arXiv,arXiv,"The Weibull distribution is a commonly adopted choice for modeling the survival of systems subject to maintenance over time. When only proxy indicators and censored observations are available, it becomes necessary to express the distribution's parameters as functions of time-dependent covariates. Deep neural networks provide the flexibility needed to learn complex relationships between these covariates and operational lifetime, thereby extending the capabilities of traditional regression-based models. Motivated by the analysis of a fleet of military vehicles operating in highly variable and demanding environments, as well as by the limitations observed in existing methodologies, this paper introduces WTNN, a new neural network-based modeling framework specifically designed for Weibull survival studies. The proposed architecture is specifically designed to incorporate qualitative prior knowledge regarding the most influential covariates, in a manner consistent with the shape and structure of the Weibull distribution. Through numerical experiments, we show that this approach can be reliably trained on proxy and right-censored data, and is capable of producing robust and interpretable survival predictions that can improve existing approaches.",stat.ML; cs.LG; stat.AP; stat.ME,preprint,http://arxiv.org/abs/2512.09163v1,arXiv,4,survival:survival analysis; survival:censored data
10.2139/ssrn.4912618,Customer Churn Prediction,Prarthana R; Isiri P; Nikhil D,3,2024,8.0,,Elsevier BV,,,posted-content,https://doi.org/10.2139/ssrn.4912618,CrossRef,4,forecasting:customer churn; forecasting:churn prediction
10.32388/e75jhu,"Review of: ""Bank Customer Churn Prediction Using SMOTE: A Comparative Analysis""",Elham Mohammed Thabit A. Alsaadi,1,2024,4.0,,Qeios Ltd,,,peer-review,https://doi.org/10.32388/e75jhu,CrossRef,4,forecasting:customer churn; forecasting:churn prediction
10.1038/s41598-025-26478-z,Unifying graph neural networks causal machine learning and conformal prediction for robust causal inference in rail transport systems,Mehmet Taciddin Akçay,1,2025,11.0,Scientific Reports,Springer Science and Business Media LLC,,,journal-article,https://doi.org/10.1038/s41598-025-26478-z,CrossRef,4,causal:causal inference; causal:causal machine learning
,Forecasting Algorithms for Causal Inference with Panel Data,Jacob Goldin; Julian Nyarko; Justin Young,3,2022,8,arXiv,arXiv,"Conducting causal inference with panel data is a core challenge in social science research. We adapt a deep neural architecture for time series forecasting (the N-BEATS algorithm) to more accurately impute the counterfactual evolution of a treated unit had treatment not occurred. Across a range of settings, the resulting estimator (``SyNBEATS'') significantly outperforms commonly employed methods (synthetic controls, two-way fixed effects), and attains comparable or more accurate performance compared to recently proposed methods (synthetic difference-in-differences, matrix completion). An implementation of this estimator is available for public use. Our results highlight how advances in the forecasting literature can be harnessed to improve causal inference in panel data settings.",econ.EM; stat.ML,preprint,http://arxiv.org/abs/2208.03489v3,arXiv,4,causal:causal inference; causal:counterfactual
,TimeDepFrail: Time-Dependent Shared Frailty Cox Models in R,Alessandra Ragni; Giulia Romani; Chiara Masci,3,2025,1,arXiv,arXiv,"This paper introduces TimeDepFrail, an R package designed to implement time-varying shared frailty models by extending the traditional shared frailty Cox model to allow the frailty term to evolve across time intervals. These models are particularly suited for survival analysis in clustered data where unobserved heterogeneity changes over time, providing greater flexibility in modeling time-to-event data.
  The package builds on the piecewise gamma frailty model originally proposed by Paik (1994) and refined by Wintrebert et al. (2004). Our key contributions include the integration of posterior frailty estimation, a reduction in computational complexity, the definition of a prediction framework and the efficient implementation of these models within an R package.
  As a practical application, we use TimeDepFrail to analyze dropout rates within a university, where high dropout rates are a known issue. By allowing frailty to vary over time, the package uncovers new insights into the unobserved factors influencing dropout.
  TimeDepFrail simplifies access to advanced time-varying frailty models, providing a practical and scalable alternative to more computationally demanding methods, making it highly applicable for large-scale datasets.",stat.CO,preprint,http://arxiv.org/abs/2501.12718v1,arXiv,4,survival:survival analysis; survival:time-to-event
,GDBN: a Graph Neural Network Approach to Dynamic Bayesian Network,Yang Sun; Yifan Xie,2,2023,1,arXiv,arXiv,"Identifying causal relations among multi-variate time series is one of the most important elements towards understanding the complex mechanisms underlying the dynamic system. It provides critical tools for forecasting, simulations and interventions in science and business analytics. In this paper, we proposed a graph neural network approach with score-based method aiming at learning a sparse DAG that captures the causal dependencies in a discretized time temporal graph. We demonstrate methods with graph neural network significantly outperformed other state-of-the-art methods with dynamic bayesian networking inference. In addition, from the experiments, the structural causal model can be more accurate than a linear SCM discovered by the methods such as Notears.",cs.LG; cs.AI; stat.ML,preprint,http://arxiv.org/abs/2302.10804v1,arXiv,4,causal:causal model; causal:structural causal
,Causal Analysis of Influence of the Solar Cycle and Latitudinal Solar-Wind Structure on Corotation Forecasts,Nachiketa Chakraborty; Harriet Turner; Mathew Owens; Matthew Lang,4,2023,1,arXiv,arXiv,"Studying solar wind conditions is central to forecasting impact of space weather on Earth. Under the assumption that the structure of this wind is constant in time and corotates with the Sun, solar wind and thereby space weather forecasts have been made quite effectively. Such corotation forecasts are well studied with decades of observations from STEREO and near-Earth spacecrafts. Forecast accuracy depends upon the latitudinal separation (or offset $Δθ$) between source and spacecraft, forecast lead time ($Δt$) and the solar cycle via the sunspot number (SSN). The precise dependencies factoring in uncertain- ties however, are a mixture of influences from each of these factors. And for high precision forecasts, it is important to understand what drives the forecast accuracy and its uncertainty. Here we present a causal inference approach based on information theoretic measures to do this. Our framework can compute not only the direct (linear and non-linear) dependencies of the forecast mean absolute error (MAE) on SSN, $Δt$ and $Δt$, but also how these individual variables combine to enhance or diminish the MAE. We provide an initial assessment of this with potential of aiding data assimilation in the future.",astro-ph.SR; physics.data-an; physics.space-ph,preprint,http://arxiv.org/abs/2301.11904v1,arXiv,4,causal:causal inference; causal:causal analysis
10.55041/ijsrem27841,Customer Segmentation and Customer Churn Analysis System for Telecom Companies,IJSREM Journal,1,2024,1.0,INTERANTIONAL JOURNAL OF SCIENTIFIC RESEARCH IN ENGINEERING AND MANAGEMENT,Edtech Publishers (OPC) Private Limited,"<jats:p>The advent of 5G technology and the shifting customer preferences have created a lot of opportunities for telecommunication (telco) companies. Such immense business opportunities have also led to fierce competition in the telco market, accompanied by a high customer churn rate. It is pressing for telco operators to come up with effective marketing strategies based on extensive customer analytics to prevent customer turnover and bolster company revenue. Customer analytics in the telco industry consists of two key components, namely churn prediction and customer segmentation. As the telco market tends to be saturated, too much focus on attracting new subscribers is no longer applicable to the telco industry. The cost of attracting new customers by investing considerable resources is confirmed to be significantly higher than the cost of retaining existing customers. In this context, churn management becomes instrumental in the telco industry.  Key Words Business, churn prediction, Bayesian analysis, customer segmentation.</jats:p>",,journal-article,https://doi.org/10.55041/ijsrem27841,CrossRef,4,forecasting:customer churn; forecasting:churn prediction
,Explainable Artificial Intelligence for Economic Time Series: A Comprehensive Review and a Systematic Taxonomy of Methods and Concepts,Agustín García-García; Pablo Hidalgo; Julio E. Sandubete,3,2025,12,arXiv,arXiv,"Explainable Artificial Intelligence (XAI) is increasingly required in computational economics, where machine-learning forecasters can outperform classical econometric models but remain difficult to audit and use for policy. This survey reviews and organizes the growing literature on XAI for economic time series, where autocorrelation, non-stationarity, seasonality, mixed frequencies, and regime shifts can make standard explanation techniques unreliable or economically implausible. We propose a taxonomy that classifies methods by (i) explanation mechanism: propagation-based approaches (e.g., Integrated Gradients, Layer-wise Relevance Propagation), perturbation and game-theoretic attribution (e.g., permutation importance, LIME, SHAP), and function-based global tools (e.g., Accumulated Local Effects); (ii) time-series compatibility, including preservation of temporal dependence, stability over time, and respect for data-generating constraints. We synthesize time-series-specific adaptations such as vector- and window-based formulations (e.g., Vector SHAP, WindowSHAP) that reduce lag fragmentation and computational cost while improving interpretability. We also connect explainability to causal inference and policy analysis through interventional attributions (Causal Shapley values) and constrained counterfactual reasoning. Finally, we discuss intrinsically interpretable architectures (notably attention-based transformers) and provide guidance for decision-grade applications such as nowcasting, stress testing, and regime monitoring, emphasizing attribution uncertainty and explanation dynamics as indicators of structural change.",econ.GN; cs.AI,preprint,http://arxiv.org/abs/2512.12506v1,arXiv,4,causal:causal inference; causal:counterfactual
10.32388/h82xtw,Bank Customer Churn Prediction Using SMOTE: A Comparative Analysis,Moshood A. Hambali; Ishaku Andrew,2,2024,3.0,Qeios,Qeios Ltd,"<jats:p>In today's market, customers have a plethora of options available to them when deciding where to invest their money. Consequently, customer churn and engagement have emerged as prominent concerns. With an increasing number of service providers targeting the same customer base, it is imperative for providers to understand evolving customer behavior and heightened expectations to retain their clientele. Numerous studies have addressed the issue of customer churn, with data mining frequently employed to predict bank customer attrition. While many researchers have proposed various approaches for predicting customer churn, some machine learning (ML) algorithms have struggled to deliver the required performance in identifying customer churn accurately most especially when the dataset is imbalance data. Therefore, this paper presents an application of Synthetic Minority Over Sampling Technique (SMOTE) on bank churn dataset. The SMOTE algorithm was employed to address the problem of data imbalance and Genetic Algorithm (GA) was applied to select most informative features from the original dataset. The selective features were evaluate using four (4) different classification algorithms: Random Forest (RF), K-Nearnest Neighbor (KNN), Artificial Neural Network (ANN) and Adaboost algorithms. The KNN model demonstrated superior performance compared to other models in terms of accuracy (96%), precision (96%), and F-measure (96%) respectively. Furthermore, we compared our results with existing models that utilized the same dataset, and our proposed strategy outperformed them.</jats:p>",,journal-article,https://doi.org/10.32388/h82xtw,CrossRef,4,forecasting:customer churn; forecasting:churn prediction
